1993: N/A vs. N/A
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Michael Jordan,29,6,274,101,199,10,25,34,49,15,36,51,38,10,4,16,20,246,.508,.400,.694,45.7,41.0,8.5,6.3,1.7,0.7,jordami01
2,Scottie Pippen,27,6,266,54,123,0,6,19,35,16,39,55,46,12,6,26,19,127,.439,.000,.543,44.3,21.2,9.2,7.7,2.0,1.0,pippesc01
3,B.J. Armstrong,25,6,251,32,63,10,19,7,7,2,9,11,30,5,1,5,21,81,.508,.526,1.000,41.8,13.5,1.8,5.0,0.8,0.2,armstbj01
4,Horace Grant,27,6,233,28,53,0,0,11,19,25,37,62,14,9,9,5,24,67,.528,,.579,38.8,11.2,10.3,2.3,1.5,1.5,grantho01
5,John Paxson,32,6,96,13,21,9,14,0,0,4,5,9,5,3,1,1,10,35,.619,.643,,16.0,5.8,1.5,0.8,0.5,0.2,paxsojo01
6,Scott Williams,24,6,159,13,32,0,0,2,7,12,26,38,10,3,9,8,19,28,.406,,.286,26.5,4.7,6.3,1.7,0.5,1.5,willisc01
7,Bill Cartwright,35,6,128,12,30,0,0,2,4,7,12,19,10,3,1,2,15,26,.400,,.500,21.3,4.3,3.2,1.7,0.5,0.2,cartwbi01
8,Trent Tucker,33,6,41,7,10,3,5,0,0,1,1,2,4,1,0,1,5,17,.700,.600,,6.8,2.8,0.3,0.7,0.2,0.0,tucketr01
9,Stacey King,26,6,49,3,11,0,0,7,8,3,5,8,3,2,1,5,6,13,.273,,.875,8.2,2.2,1.3,0.5,0.3,0.2,kingst01
10,Rodney McCray,31,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,,,,4.0,0.0,1.0,0.0,0.0,0.0,mccraro01
11,Will Perdue,27,1,9,0,2,0,0,0,0,1,2,3,0,0,0,0,2,0,.000,,,9.0,0.0,3.0,0.0,0.0,0.0,perduwi01
12,Darrell Walker,31,3,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,.000,1.7,0.0,0.0,0.3,0.0,0.0,walkeda01

,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Charles Barkley,29,6,277,60,126,2,8,42,56,22,56,78,33,7,3,10,20,164,.476,.250,.750,46.2,27.3,13.0,5.5,1.2,0.5,barklch01
2,Kevin Johnson,26,6,260,40,95,0,2,23,25,2,16,18,39,8,2,26,19,103,.421,.000,.920,43.3,17.2,3.0,6.5,1.3,0.3,johnske02
3,Dan Majerle,27,6,281,35,79,17,39,16,20,12,37,49,22,8,13,7,8,103,.443,.436,.800,46.8,17.2,8.2,3.7,1.3,2.2,majerda01
4,Richard Dumas,23,6,160,44,77,0,0,7,9,15,11,26,6,8,6,6,15,95,.571,,.778,26.7,15.8,4.3,1.0,1.3,1.0,dumasri02
5,Danny Ainge,33,6,162,19,40,8,12,7,9,7,11,18,15,2,0,7,12,53,.475,.667,.778,27.0,8.8,3.0,2.5,0.3,0.0,aingeda01
6,Tom Chambers,33,6,92,14,39,0,0,12,15,5,13,18,3,1,3,9,12,40,.359,,.800,15.3,6.7,3.0,0.5,0.2,0.5,chambto01
7,Mark West,32,6,130,13,21,0,0,8,15,12,14,26,4,0,7,5,21,34,.619,,.533,21.7,5.7,4.3,0.7,0.0,1.2,westma01
8,Oliver Miller,22,6,107,12,27,0,1,6,8,10,15,25,8,4,12,7,20,30,.444,.000,.750,17.8,5.0,4.2,1.3,0.7,2.0,milleol01
9,Frank Johnson,34,6,44,7,17,0,0,4,4,1,1,2,5,3,0,2,6,18,.412,,1.000,7.3,3.0,0.3,0.8,0.5,0.0,johnsfr01
10,Jerrod Mustaf,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,mustaje01
