1999: SAS vs. NYK
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Tim Duncan,22,5,228,51,95,0,2,35,44,14,56,70,12,5,11,17,12,137,.537,.000,.795,45.6,27.4,14.0,2.4,1.0,2.2,duncati01
2,David Robinson,33,5,186,25,59,0,0,33,48,14,45,59,12,5,15,8,16,83,.424,,.688,37.2,16.6,11.8,2.4,1.0,3.0,robinda01
3,Mario Elie,35,5,175,17,38,4,13,20,23,2,18,20,13,6,0,8,14,58,.447,.308,.870,35.0,11.6,4.0,2.6,1.2,0.0,eliema01
4,Avery Johnson,33,5,196,20,40,0,1,6,10,2,11,13,36,3,0,20,11,46,.500,.000,.600,39.2,9.2,2.6,7.2,0.6,0.0,johnsav01
5,Sean Elliott,30,5,182,14,42,5,18,7,11,4,11,15,15,4,1,6,14,40,.333,.278,.636,36.4,8.0,3.0,3.0,0.8,0.2,elliose01
6,Jaren Jackson,31,5,96,12,37,9,24,0,0,1,6,7,5,5,0,9,13,33,.324,.375,,19.2,6.6,1.4,1.0,1.0,0.0,jacksja01
7,Antonio Daniels,23,4,23,4,5,2,2,0,0,0,2,2,4,1,0,2,3,10,.800,1.000,,5.8,2.5,0.5,1.0,0.3,0.0,daniean01
8,Steve Kerr,33,5,44,4,10,1,2,0,1,2,3,5,2,0,0,2,3,9,.400,.500,.000,8.8,1.8,1.0,0.4,0.0,0.0,kerrst01
9,Malik Rose,24,5,65,2,10,0,0,2,4,3,9,12,2,3,2,5,13,6,.200,,.500,13.0,1.2,2.4,0.4,0.6,0.4,rosema01
10,Jerome Kersey,36,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1.000,,,2.0,1.0,0.0,0.0,0.0,0.0,kerseje01
11,Gerard King,26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.5,0.0,0.0,0.0,0.0,0.0,kingge02
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Latrell Sprewell,28,5,220,48,117,2,7,32,38,6,27,33,13,7,1,14,7,130,.410,.286,.842,44.0,26.0,6.6,2.6,1.4,0.2,sprewla01
2,Allan Houston,27,5,223,41,96,2,12,24,26,2,14,16,17,2,0,13,9,108,.427,.167,.923,44.6,21.6,3.2,3.4,0.4,0.0,houstal01
3,Marcus Camby,24,5,136,21,42,0,0,6,8,13,26,39,1,3,10,2,25,48,.500,,.750,27.2,9.6,7.8,0.2,0.6,2.0,cambyma01
4,Larry Johnson,29,5,184,14,49,2,18,8,13,6,18,24,7,6,1,8,22,38,.286,.111,.615,36.8,7.6,4.8,1.4,1.2,0.2,johnsla02
5,Charlie Ward,28,5,146,12,26,4,12,1,2,6,10,16,18,13,2,7,9,29,.462,.333,.500,29.2,5.8,3.2,3.6,2.6,0.4,wardch01
6,Kurt Thomas,26,5,106,11,32,0,0,6,10,13,25,38,2,6,0,1,23,28,.344,,.600,21.2,5.6,7.6,0.4,1.2,0.0,thomaku01
7,Chris Childs,31,5,105,5,22,1,5,1,2,1,5,6,11,2,0,8,14,12,.227,.200,.500,21.0,2.4,1.2,2.2,0.4,0.0,childch01
8,Chris Dudley,33,5,78,2,8,0,0,2,6,2,17,19,1,1,3,5,14,6,.250,,.333,15.6,1.2,3.8,0.2,0.2,0.6,dudlech02
9,Rick Brunson,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,brunsri01
10,Herb Williams,40,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,1.0,0.0,0.0,0.0,0.0,0.0,willihe01
