1995: ORL vs. HOU
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Hakeem Olajuwon,32,4,179,56,116,1,1,18,26,11,35,46,22,8,8,11,18,131,.483,1.000,.692,44.8,32.8,11.5,5.5,2.0,2.0,olajuha01
2,Clyde Drexler,32,4,162,27,60,2,13,30,38,13,25,38,27,4,1,6,14,86,.450,.154,.789,40.5,21.5,9.5,6.8,1.0,0.3,drexlcl01
3,Robert Horry,24,4,187,23,53,11,29,14,21,9,31,40,15,12,9,5,9,71,.434,.379,.667,46.8,17.8,10.0,3.8,3.0,2.3,horryro01
4,Mario Elie,31,4,161,24,37,8,14,9,10,4,13,17,13,8,0,7,9,65,.649,.571,.900,40.3,16.3,4.3,3.3,2.0,0.0,eliema01
5,Sam Cassell,25,4,93,15,35,7,15,20,24,1,6,7,12,7,0,6,9,57,.429,.467,.833,23.3,14.3,1.8,3.0,1.8,0.0,cassesa01
6,Kenny Smith,29,4,105,11,29,8,19,0,0,2,5,7,16,1,0,2,7,30,.379,.421,,26.3,7.5,1.8,4.0,0.3,0.0,smithke01
7,Chucky Brown,26,4,38,5,11,0,1,2,2,3,8,11,0,0,2,1,2,12,.455,.000,1.000,9.5,3.0,2.8,0.0,0.0,0.5,brownch01
8,Charles Jones,37,4,57,1,2,0,0,2,2,1,6,7,0,0,0,1,15,4,.500,,1.000,14.3,1.0,1.8,0.0,0.0,0.0,jonesch01
9,Pete Chilcutt,26,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,chilcpe01
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Shaquille O'Neal,22,4,180,44,74,0,0,24,42,11,39,50,25,1,10,21,18,112,.595,,.571,45.0,28.0,12.5,6.3,0.3,2.5,onealsh01
2,Anfernee Hardaway,23,4,172,35,70,11,24,21,23,6,13,19,32,4,3,15,15,102,.500,.458,.913,43.0,25.5,4.8,8.0,1.0,0.8,hardaan01
3,Horace Grant,29,4,168,25,47,0,0,4,5,19,29,48,6,2,2,6,13,54,.532,,.800,42.0,13.5,12.0,1.5,0.5,0.5,grantho01
4,Brian Shaw,28,4,84,20,47,10,26,0,0,4,9,13,13,2,1,8,15,50,.426,.385,,21.0,12.5,3.3,3.3,0.5,0.3,shawbr01
5,Nick Anderson,27,4,161,18,50,10,31,3,10,6,28,34,17,8,2,4,9,49,.360,.323,.300,40.3,12.3,8.5,4.3,2.0,0.5,anderni01
6,Dennis Scott,26,4,150,13,42,7,29,9,9,2,12,14,9,4,1,7,12,42,.310,.241,1.000,37.5,10.5,3.5,2.3,1.0,0.3,scottde01
7,Anthony Bowie,31,4,26,6,10,1,2,0,0,0,2,2,6,0,1,2,9,13,.600,.500,,6.5,3.3,0.5,1.5,0.0,0.3,bowiean01
8,Jeff Turner,32,4,43,2,10,2,6,0,0,0,4,4,2,0,0,1,6,6,.200,.333,,10.8,1.5,1.0,0.5,0.0,0.0,turneje01
9,Donald Royal,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,royaldo01
